Substance,State,H(298.15 K)-H(0),Uncertainty
Ag,cr,5.745,0.02
Al,cr,4.54,0.02
Ar,g,6.197,0.001
B,"cr,rhombic",1.222,0.008
Be,cr,1.95,0.02
Br2,l,24.52,0.01
C,"cr,graphite",1.05,0.02
Ca,cr,5.736,0.04
Cd,cr,6.247,0.015
Cl2,g,9.181,0.001
Cs,cr,7.711,0.02
Cu,cr,5.004,0.008
F2,g,8.825,0.001
Ge,cr,4.636,0.02
H2,g,8.468,0.001
He,g,6.197,0.001
Hg,l,9.342,0.008
I2,cr,13.196,0.04
K,cr,7.088,0.02
Kr,g,6.197,0.001
Li,cr,4.632,0.04
Mg,cr,4.998,0.03
N2,g,8.67,0.001
Na,cr,6.46,0.02
Ne,g,6.197,0.001
O2,g,8.68,0.002
P,"cr,white",5.36,0.015
Pb,cr,6.87,0.03
Rb,cr,7.489,0.02
S,"cr,rhombic",4.412,0.006
Si,cr,3.217,0.008
Sn,"cr,white",6.323,0.008
Th,cr,6.35,0.05
Ti,cr,4.824,0.015
U,cr,6.364,0.02
Xe,g,6.197,0.001
Zn,cr,5.657,0.02
